Approximated by,Truth,Coverage %
Light Edie,Heavy Poly,79.72
Heavy Poly,Light Edie,125.44
Heavy Edie,Light Edie,40.62
Heavy Edie,Heavy Poly,32.38
Heavy Poly,Light Poly,32.36
Light Edie,Light Poly,25.8
Heavy Edie,Light Poly,10.48
Light Edie,Heavy Edie,246.2
Heavy Poly,Heavy Edie,308.82
Light Poly,Heavy Poly,309.0
Light Poly,Light Edie,387.59
Light Poly,Heavy Edie,954.23
