Approximated by,Truth,Coverage %
Light Edie,Heavy Poly,81.01
Heavy Poly,Light Edie,123.44
Heavy Edie,Light Edie,41.92
Heavy Poly,Light Poly,41.84
Heavy Edie,Heavy Poly,33.96
Light Edie,Light Poly,33.9
Heavy Edie,Light Poly,14.21
Light Edie,Heavy Edie,238.56
Light Poly,Heavy Poly,238.99
Heavy Poly,Heavy Edie,294.47
Light Poly,Light Edie,295.01
Light Poly,Heavy Edie,703.76
