Approximated by,Truth,Coverage %
Light Edie,Heavy Poly,80.21
Heavy Poly,Light Edie,124.67
Heavy Poly,Light Poly,35.15
Light Edie,Light Poly,28.2
Heavy Edie,Light Edie,27.77
Heavy Edie,Heavy Poly,22.27
Heavy Edie,Light Poly,7.83
Light Poly,Heavy Poly,284.47
Light Poly,Light Edie,354.65
Light Edie,Heavy Edie,360.12
Heavy Poly,Heavy Edie,448.96
Light Poly,Heavy Edie,1277.14
