Approx.,Truth,Coverage %
Light Edie,Heavy Poly,82.34
Heavy Poly,Light Edie,121.6
Heavy Edie,Light Edie,40.17
Heavy Poly,Light Poly,39.96
Heavy Edie,Heavy Poly,33.35
Light Edie,Light Poly,33.08
Heavy Edie,Light Poly,13.55
Light Edie,Heavy Edie,253.44
Light Poly,Heavy Poly,257.67
Heavy Poly,Heavy Edie,308.39
Light Poly,Light Edie,314.83
Light Poly,Heavy Edie,806.08
